espèce source,interaction,espèce cible,source,poids,commentaire
ail,favorise,scarole,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
ail,défavorise,soucis,"Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",1.0,
ail,favorise,tomate,"Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Le potager de Marie', Favorise d'après 'Jardin Bio', Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Companion gardening', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Favorise d'après 'Jardinage Biologique', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",17.0,
ail,défavorise,tournesol,Défavorise d'après 'IDEP Foundation',1.0,
ail,favorise,vesce,"Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",1.0,
aneth,défavorise,angélique,Défavorise d'après 'Companion planting',1.0,
aneth,favorise,asperge,Favorise d'après 'Companion gardening',1.0,
aneth,favorise,betterave,"Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'IDEP Foundation', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",8.0,
aneth,favorise,brocoli,"Favorise d'après 'Le potager de Marie', Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Companion gardening', Favorise d'après 'IDEP Foundation', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",6.0,
aneth,défavorise,carvi,Défavorise d'après 'Companion planting',1.0,
aneth,favorise,cerfeuil,Favorise d'après 'IDEP Foundation',1.0,
aneth,favorise,chou de bruxelles,"Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'IDEP Foundation', Favorise d'après 'Companion gardening', Favorise d'après 'Le potager de Marie', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",5.0,
