Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Mélisse,Lemon balm,Lamiaceae,Melissa officinalis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Citronelle,Lemon grass,Poaceae,Cymbopogon citratus,,"Medicinal, Aromatic Plants, Flowers & Others",
Lentille,Lentil,Fabaceae,Lens culinaris,,Vegetables,
Laitue,Lettuce,Asteraceae,Lactuca sativa L.,Vegetable,Vegetables,Leaf vegetables
Salades Autres PF ,Lettuce (others),Asteraceae,Lactuca sativa,Vegetable,Vegetables,Leaf vegetables
Lilas,Lilac,Oleaceae,Syringa vulgaris,,"Medicinal, Aromatic Plants, Flowers & Others",
Réglisse,Liquorice,Fabaceae,Glycyrrhiza glabra L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Livèche,Lovage,Apiaceae,Levisticum officinale,,"Medicinal, Aromatic Plants, Flowers & Others",
Lupin,Lupin,Fabaceae,Lupinus L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Chou Caraïbe,Macabo,Araceae,Xanthosoma sagittifolium,,Vegetables,
Macadamia,Macadamia,Proteaceae,Macadamia integrifolia Maiden & Betche,,,
Maïs,Maize,Poaceae,Zea mays L.,Vegetable,Vegetables,Fruiting vegetables
,Mango,Anacardiaceae,Mangifera indica L.,,,
Tagète,Marigold,Asteraceae,Tagetes patula L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Luzerne,Medicago,Fabaceae,Medicago sativa L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Melon,Melon,Cucurbitaceae ,Cucumis melo L.,Fruit,Vegetables,Fruiting vegetables
Millet,Millet,Poaceae,Pennisetum glaucum,,Cereals,
Menthe,Mint,Lamiaceae,Mentha spicata L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Mesclun,Mixed salad leaves,Miscellaneous,Miscellaneous,,Vegetables,Leaf vegetables
,Moth bean,Fabaceae,Vigna aconitifolia (Jacq.) Marechal,,,
Mûre,Mulberry,Moraceae,Morus alba L.,Berries,Shrubs & Berries,
,Mung bean,Fabaceae,Vigna radiata L.,,,
Moutarde,Mustard,Brassicaceae,Brassica juncea L.,,Vegetables,
,Muster John Henry,Asteraceae,Tagetes minuta L.,,,
Capucine,Nasturtium,Tropaeolaceae,Tropaeolum,,"Medicinal, Aromatic Plants, Flowers & Others",
Nectarine et brugnon ,Nectarines,Rosaceae,Prunus persica nucipersica,Fruit,Fruits,Stone fruits
Nectarine,Nectarines,Rosaceae,Prunus persica nucipersica,Fruit,Fruits,Stone fruits
Ortie,Nettle,Urticaceae,Urtica dioica L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Avoine,Oat,Poaceae,Avena sativa L.,,Cereals,
Gombo,Okra,Malvaceae,Abelmoschus esculentus,,Vegetables,
Olive,Olive,Oleaceae,Olea europaea,Fruit,Fruits,
Oignon,Onion,Alliaceae,Allium cepa L.,Vegetable,Vegetables,Root vegetables
Oignon de couleur ,Onion (colored),Alliaceae,Allium cepa L.,Vegetable,Vegetables,Root vegetables
Oignon botte,Onion (spring),Alliaceae,Allium cepa L.,Vegetable,Vegetables,Root vegetables
Oignon conservation,Onion (Stor.),Alliaceae,Allium cepa L.,Vegetable,Vegetables,Root vegetables
Oignon blanc ,Onion (white),Alliaceae,Allium cepa L.,Vegetable,Vegetables,Root vegetables
Arroche,Orach,Chenopodiaceae,Atriplex halimus L.,,Vegetables,
Origan (Marjolaine),Oregano,Lamiaceae,Origanum vulgare,,"Medicinal, Aromatic Plants, Flowers & Others",
Persil,Parsley,Apiaceae,Petroselinum crispum L.,Vegetable,"Medicinal, Aromatic Plants, Flowers & Others",Leaf vegetables
Panais,Parsnip,Apiaceae,Pastinaca sativa,Vegetable,Vegetables,Root vegetables
Pâtisson,Pattypan squash,Cucurbitaceae ,Cucurbita pepo L. var. ovifera L. Harz,,Vegetables,
Petits pois ,Pea,Fabaceae,Pisum sativum L.,Vegetable,Vegetables,Leguminous vegetables
Pêche,Peach,Rosaceae,Prunus persica (L.) Batsch,Fruit,Fruits,Stone fruits
Arachide,Peanut,Fabaceae,Arachis hypogaea L.,,Vegetables,
Poire,Pear,Rosaceae,Pyrus communis L. ,Fruit,Fruits,Pome fruits
Poires d'automne ,Pear (autumn),Rosaceae,Pyrus communis,Fruit,Fruits,Pome fruits
Poires Jules Guyot ,Pear (French Bartlett),Rosaceae,Pyrus communis,Fruit,Fruits,Pome fruits
Poires d'ete autres ,Pear (summer),Rosaceae,Pyrus communis,Fruit,Fruits,Pome fruits
Poires William's ,Pear (Williams),Rosaceae,Pyrus communis,Fruit,Fruits,Pome fruits
Poires d'hiver ,Pear (winter),Rosaceae,Pyrus communis,Fruit,Fruits,Pome fruits
Mil,Pearl millet,Poaceae,Pennisetum americanum L. Leeke,,Cereals,
Piment,Pepper,Solanaceae,Capsicum annuum L.,Vegetable,Vegetables,Fruiting vegetables
,Perennial ryegrass,Poaceae,Lolium perenne L.,,,
Pétunia,Petunia,Solanaceae,Petunia (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
