Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Tomate classique,Tomato (classic),Solanaceae,Solanum lycopersicum L.,Vegetable,Vegetables,Fruiting vegetables
Tomate ancienne,Tomato (heritage),Solanaceae,Solanum lycopersicum L.,Vegetable,Vegetables,Fruiting vegetables
,Torrel's eucalyptus,Myrtaceae,Corymbia torelliana (F. Muell.),,,
Salsifis,Tragopogon,Asteraceae,Tragopogon porrifolius,,Vegetables,
Curcuma,Turmeric,Zingiberaceae,Curcuma longa L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Navet,Turnip,Brassicaceae,Brassica rapa var. Rapa L.,Vegetable,Vegetables,Root vegetables
Navet botte,Turnip (fresh),Brassicaceae,Brassica rapa var. Rapa,Vegetable,Vegetables,Root vegetables
Navet conservation,Turnip (Stor.),Brassicaceae,Brassica rapa var. Rapa,Vegetable,Vegetables,Root vegetables
Valériane,Valerian,Valerianaceae,Centranthus ruber L.,,"Medicinal, Aromatic Plants, Flowers & Others",
,Velvet bean,Fabaceae,Mucuna pruriens (L.),,,
Vesce,Vetch,Fabaceae,Vicia L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Noix,Walnut,Juglandaceae,Juglans regia L.,Fruit,Fruits,Nut fruits
Noyer,Walnut,Juglandaceae,Juglans regia L.,Fruit,Fruits,Nut fruits
,Water yam,Dioscoreaceae,Dioscorea alata L.,,,
Cresson,Watercress,Brassicaceae,Nasturtium officinale,,Vegetables,
Salade Cresson ,Watercress,Brassicaceae,Nasturtium officinale,Vegetable,Vegetables,Leaf vegetables
Pastèque,Watermelon,Cucurbitaceae ,Citrullus lanatus var. lanatus,Fruit,Vegetables,Fruiting vegetables
Blé,Wheat,Poaceae,Triticum aestivum L.,,Cereals,
Trèfle blanc,White clover,Fabaceae,Trifolium repens L.,,,
,White leadtree,Fabaceae,Leucaena leucocephala (Lam.) de Wit,,,
,Withania,Solanaceae,Withania somnifera (L.) Dunal,,,
,Woman's tongue,Fabaceae,Albizia lebbeck (L.) Benth.,,,
Absinthe,Wormwood,Asteraceae,Artemisia vulgaris,,"Medicinal, Aromatic Plants, Flowers & Others",
Malanga,Xanthosoma,Araceae,Xanthosoma sagittifolium L. Schott,Vegetable,Vegetables,
Achillée,Yarrow,Asteraceae,Achillea millefolium L.,,"Medicinal, Aromatic Plants, Flowers & Others",
,Yellow squash,Cucurbitaceae ,Cucurbita pepo L.,,,
Zinnia,Zinnia,Asteraceae,Zinnia (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
Courgette,Zucchini,Cucurbitaceae ,Cucurbita pepo var. cylindrica,Vegetable,Vegetables,Fruiting vegetables
